"polarity","adduct","voltage","frag_mass","frag_int"
"+","[M+H]",0,118.186477202239,1.28793
"+","[M+H]",0,118.086490879227,100
"+","[M+H]",0,59.07404760886,0.577332
"+","[M+H]",10,118.186403275299,1.13229
"+","[M+H]",10,118.086406989991,100
"+","[M+H]",10,59.0739591115404,14.3516
"+","[M+H]",10,58.0658692191742,6.63302
"+","[M+H]",20,118.086182464319,45.4686
"+","[M+H]",20,59.0739221374277,82.1257
"+","[M+H]",20,58.1355552660165,0.635193
"+","[M+H]",20,58.0660275267555,100
"+","[M+H]",40,59.0735180638059,1.66035
"+","[M+H]",40,58.1364528639023,0.700661
"+","[M+H]",40,58.0661732432181,100
"+","[M+H]",40,56.0504358469244,0.907627
"+","[M+H]",40,44.0501005870359,0.711345
"+","[M+H]",40,43.0422542955501,3.39541
"+","[M+H]",40,42.0341549189874,4.11908
"+","[M+H]",40,30.0340060506973,0.999104
"-","[M-H]",0,116.070536613604,100
"-","[M-H]",0,115.076180291995,10.3794
"-","[M-H]",0,110.237251050675,2.09299
"-","[M-H]",0,88.0416705548561,2.5031
"-","[M-H]",0,79.9569220905762,1.55627
"-","[M-H]",0,79.9124505893125,1.48969
"-","[M-H]",0,58.0061192563694,30.8546
"-","[M-H]",0,44.0495138791849,4.45609
"-","[M-H]",10,116.071384025599,31.7277
"-","[M-H]",10,115.077239857086,7.50204
"-","[M-H]",10,101.049146967559,6.41228
"-","[M-H]",10,88.073864721756,3.38723
"-","[M-H]",10,88.0373122984047,3.1704
"-","[M-H]",10,71.0159981116086,3.10416
"-","[M-H]",10,58.0057625611639,100
"-","[M-H]",10,44.0487962952004,3.53474
"-","[M-H]",20,58.0065475662264,100
